Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-06-25,Strange Brew,1983,https://boxd.it/4qkClR,5,Yes,,2023-06-12
2023-06-25,Matilda,1996,https://boxd.it/4qkrCn,5,Yes,,2023-06-13
2023-06-20,Raging Bull,1980,https://boxd.it/4oTeIz,4,,,2023-06-14
2023-06-20,Mean Streets,1973,https://boxd.it/4oTfSv,1.5,,,2023-06-14
2023-06-20,The Boogeyman,2023,https://boxd.it/4oTj3h,2,,,2023-06-19
2023-06-20,An American Pickle,2020,https://boxd.it/4oXZ3r,2,,,2023-06-19
2023-06-21,The Blackening,2022,https://boxd.it/4p8uy1,1,,,2023-06-20
2023-06-25,The Fly,1986,https://boxd.it/4qkgeT,4,Yes,,2023-06-24
2023-07-01,The Texas Chain Saw Massacre,1974,https://boxd.it/4rXqPH,5,Yes,,2023-06-30
2023-07-06,The Perfection,2018,https://boxd.it/4tBaMh,2.5,,,2023-07-01
2023-07-06,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/4tB7n9,3,,,2023-07-04
2023-07-08,Insidious: Chapter 2,2013,https://boxd.it/4u1IGJ,3.5,,,2023-07-05
2023-07-08,Insidious: The Red Door,2023,https://boxd.it/4u1Hcj,2.5,,,2023-07-07
2023-07-08,Rocky,1976,https://boxd.it/4uaftp,1.5,,,2023-07-07
2023-07-10,Catch Me If You Can,2002,https://boxd.it/4uPwD9,1.5,,,2023-07-09
2023-07-11,Tenet,2020,https://boxd.it/4v8W35,2,,,2023-07-10
2023-07-13,Interstellar,2014,https://boxd.it/4vIUNd,5,,,2023-07-12
2023-07-14,Joy Ride,2023,https://boxd.it/4vShrn,0.5,,,2023-07-13
2023-07-17,The Awful Truth,1937,https://boxd.it/4wW767,1.5,,,2023-07-15
2023-07-17,The Prestige,2006,https://boxd.it/4wXe2j,2,,,2023-07-16
2023-07-20,Barbie,2023,https://boxd.it/4xSFXv,5,,,2023-07-19
2023-07-21,Oppenheimer,2023,https://boxd.it/4ycI8b,4.5,,,2023-07-20
2023-07-22,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,https://boxd.it/4yuUBv,1.5,,,2023-07-21
2023-07-22,Memento,2000,https://boxd.it/4yFMDZ,2,,,2023-07-21
2023-07-23,Frances Ha,2012,https://boxd.it/4z8ZWX,2,,,2023-07-22
2023-07-29,Talk to Me,2022,https://boxd.it/4BsaLn,5,,,2023-07-28
2023-08-02,Barbie,2023,https://boxd.it/4D3zm1,5,Yes,,2023-07-29
2023-08-02,The Night House,2020,https://boxd.it/4D3A5P,1,,,2023-07-30
2023-08-04,Haunted Mansion,2023,https://boxd.it/4DFHp9,3.5,,,2023-08-03
2023-08-06,The Blob,1958,https://boxd.it/4EjlJh,1.5,,,2023-08-04
2023-08-06,Meg 2: The Trench,2023,https://boxd.it/4EsnYr,2,,,2023-08-05
2023-09-14,Piranha,1978,https://boxd.it/4QrJAR,3,,,2023-08-05
2023-08-07,From Dusk Till Dawn,1996,https://boxd.it/4ERuS1,2,,,2023-08-06
2023-08-09,The Exorcist,1973,https://boxd.it/4FufOL,5,Yes,,2023-08-08
2023-08-10,Bug,2006,https://boxd.it/4FOiVF,4,,,2023-08-09
2023-08-11,The Last House on the Left,1972,https://boxd.it/4G1CbN,0.5,,,2023-08-10
2023-08-12,The Last Voyage of the Demeter,2023,https://boxd.it/4GhfU3,1.5,,,2023-08-11
2023-08-13,Who Framed Roger Rabbit,1988,https://boxd.it/4GMCsD,4,,,2023-08-11
2023-08-13,Coraline,2009,https://boxd.it/4GMoBB,3.5,Yes,,2023-08-12
2023-08-13,American Hustle,2013,https://boxd.it/4GMxC9,1.5,,,2023-08-12
2023-08-14,Enter the Dragon,1973,https://boxd.it/4H99Cv,4,,,2023-08-13
2023-08-19,Dune,2021,https://boxd.it/4IAy21,5,,,2023-08-15
2023-08-19,The Texas Chain Saw Massacre,1974,https://boxd.it/4IAA8b,5,Yes,,2023-08-18
2023-08-19,Blade Runner 2049,2017,https://boxd.it/4IG7Zx,3,,,2023-08-18
2023-08-22,Whiplash,2014,https://boxd.it/4JHYbr,4,,,2023-08-21
2023-08-24,The Handmaiden,2016,https://boxd.it/4Khpwh,1.5,,,2023-08-23
2023-08-24,House,1977,https://boxd.it/4Khr7X,2,,,2023-08-23
2023-08-26,Halloween,1978,https://boxd.it/4KON8p,3,Yes,,2023-08-25
2023-08-26,Psycho,1960,https://boxd.it/4KOQrT,5,Yes,,2023-08-25
2023-08-28,Rear Window,1954,https://boxd.it/4Lhocz,4,Yes,,2023-08-26
2023-08-28,The Terminator,1984,https://boxd.it/4LhpIh,1.5,,,2023-08-27
2023-08-30,Dial M for Murder,1954,https://boxd.it/4M7Ls5,2,,,2023-08-28
2023-08-30,Jurassic Park,1993,https://boxd.it/4M7JX1,4.5,Yes,,2023-08-29
2023-09-01,Shiva Baby,2020,https://boxd.it/4Mz1AD,4,,,2023-08-31
2023-09-03,Bottoms,2023,https://boxd.it/4N7Wbt,3,,,2023-09-02
2023-09-03,Fargo,1996,https://boxd.it/4NhyeN,2.5,,,2023-09-02
2023-09-04,Black Girl,1966,https://boxd.it/4NDGq7,4,,,2023-09-03
2023-09-04,The Big Shave,1967,https://boxd.it/4NE8KT,3.5,,,2023-09-03
2023-09-05,The Seventh Seal,1957,https://boxd.it/4NWArL,5,,,2023-09-04
2023-09-06,Friend,2015,https://boxd.it/4O50G9,2,,,2023-09-05
2023-09-06,Osama,2003,https://boxd.it/4OcUs7,2.5,,,2023-09-05
2023-09-07,They Live,1988,https://boxd.it/4Osmv9,3,,,2023-09-06
2023-09-08,The Nun,2018,https://boxd.it/4OF8HB,1,Yes,,2023-09-07
2023-09-08,Portrait of a Lady on Fire,2019,https://boxd.it/4OJf45,1,,,2023-09-07
2023-09-09,The Nun II,2023,https://boxd.it/4OTrOz,1.5,,,2023-09-08
2023-09-09,Poltergeist,1982,https://boxd.it/4OZQHv,5,Yes,,2023-09-08
2023-09-10,May,2002,https://boxd.it/4PkG7T,1,,,2023-09-09
2023-09-11,Arrival,2016,https://boxd.it/4PGhv1,3,,,2023-09-10
2023-09-12,Fresh,2022,https://boxd.it/4PXVkB,4,,,2023-09-11
2023-09-13,Chungking Express,1994,https://boxd.it/4QcXkt,1.5,,,2023-09-12
2023-09-14,The Outsiders,1983,https://boxd.it/4QspvT,2,,,2023-09-13
2023-09-15,Annabelle,2014,https://boxd.it/4QI8k7,3,,,2023-09-14
2023-09-15,The Conjuring,2013,https://boxd.it/4QI9Gj,1.5,,,2023-09-14
2023-09-16,Halloween III: Season of the Witch,1982,https://boxd.it/4QYhp3,2,,,2023-09-15
2023-09-17,Annabelle: Creation,2017,https://boxd.it/4R5dpH,3,Yes,,2023-09-15
2023-09-17,Annabelle Comes Home,2019,https://boxd.it/4RiGSJ,1,,,2023-09-16
2023-09-18,A Haunting in Venice,2023,https://boxd.it/4RD6BT,2.5,,,2023-09-17
2023-09-19,Hocus Pocus,1993,https://boxd.it/4RVQYl,3.5,Yes,,2023-09-18
2023-09-20,Platoon,1986,https://boxd.it/4SbOed,4,,,2023-09-19
2023-09-21,Friday the 13th,1980,https://boxd.it/4SkKGv,2,Yes,,2023-09-20
2023-09-21,Fantastic Planet,1973,https://boxd.it/4SpH65,1.5,,,2023-09-20
2023-09-22,"As Above, So Below",2014,https://boxd.it/4SE4sB,3,,,2023-09-21
2023-09-23,It Lives Inside,2023,https://boxd.it/4SN70t,2.5,,,2023-09-22
2023-10-01,Halloween 4: The Return of Michael Myers,1988,https://boxd.it/4VcGKp,4,,,2023-09-22
2023-09-24,You Are So Not Invited to My Bat Mitzvah,2023,https://boxd.it/4Tfuqv,1,,,2023-09-23
2023-09-29,Dumb Money,2023,https://boxd.it/4UzN2V,3.5,,,2023-09-28
2023-10-01,Halloween 5: The Revenge of Michael Myers,1989,https://boxd.it/4VcDVf,1,,,2023-09-29
2023-10-02,Bride of Frankenstein,1935,https://boxd.it/4VL1rB,2,,,2023-10-01
2023-10-07,Hubie Halloween,2020,https://boxd.it/4XaM8v,2.5,,,2023-10-01
2023-10-03,The Fall of the House of Usher,1928,https://boxd.it/4W5ZU9,1.5,,,2023-10-02
2023-10-04,The Body Snatcher,1945,https://boxd.it/4WpfVb,2,,,2023-10-03
2023-10-07,Nocturnal Animals,2016,https://boxd.it/4XaK9h,4,,,2023-10-04
2023-10-09,The Exorcist,1973,https://boxd.it/4XVJo5,5,Yes,,2023-10-04
2023-10-07,The Black Cat,1934,https://boxd.it/4XaHoX,2,,,2023-10-05
2023-10-07,The Exorcist: Believer,2023,https://boxd.it/4XaGDx,2.5,,,2023-10-06
2023-10-07,Halloween: The Curse of Michael Myers,1995,https://boxd.it/4XieUV,1,,,2023-10-06
2023-10-09,Peeping Tom,1960,https://boxd.it/4XOugr,3.5,,,2023-10-08
2023-10-09,BlacKkKlansman,2018,https://boxd.it/4XYdJh,4,Yes,,2023-10-08
2023-10-10,Cronos,1992,https://boxd.it/4YhgVt,1,,,2023-10-09
2023-10-10,Hour of the Wolf,1968,https://boxd.it/4YpiJl,1,,,2023-10-09
2023-10-11,The Royal Hotel,2023,https://boxd.it/4YCu7J,3,,,2023-10-10
2023-10-11,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/4YKFOF,0.5,,,2023-10-10
2023-10-12,Dante's Inferno,1911,https://boxd.it/4Z2Tsz,3.5,,,2023-10-11
2023-10-14,Friday the 13th: The Final Chapter,1984,https://boxd.it/4ZEJKp,0.5,,,2023-10-13
2023-10-20,ParaNorman,2012,https://boxd.it/51wJJ9,5,,,2023-10-14
2023-10-17,E.T. the Extra-Terrestrial,1982,https://boxd.it/50ybTp,5,Yes,,2023-10-15
2023-10-20,Halloween,2018,https://boxd.it/51wL6t,2,,,2023-10-18
2023-10-20,"It's the Great Pumpkin, Charlie Brown",1966,https://boxd.it/51wNPl,5,Yes,,2023-10-19
2023-10-20,Killers of the Flower Moon,2023,https://boxd.it/51AOib,4,,,2023-10-19
2023-10-21,Totally Killer,2023,https://boxd.it/51JY8t,3,,,2023-10-20
2023-10-21,Shadow of the Vampire,2000,https://boxd.it/51Tj9F,2.5,,,2023-10-20
